"ID","attention_check","est_replicability","trust_authors","trust_funder","trust_journal","trust_study","COI","result","AC","cond"
215,2,60,5,4,5,5,"no COI","pro","incorrect","pos_noCOI"
216,2,85,5,5,6,6,"COI","pro","correct","pos_COI"
217,2,70,5,5,5,5,"COI","con","correct","neg_COI"
218,2,55,4,4,5,4,"COI","pro","correct","pos_COI"
219,1,85,6,5,5,6,"COI","con","incorrect","neg_COI"
220,2,60,4,5,3,5,"COI","pro","correct","pos_COI"
221,2,50,1,1,1,1,"external COI","pro","correct","pos_extCOI"
222,1,50,6,4,6,6,"no COI","con","correct","neg_noCOI"
223,2,75,6,6,6,6,"external COI","pro","correct","pos_extCOI"
224,1,50,4,4,4,3,"no COI","con","correct","neg_noCOI"
225,1,60,5,6,5,5,"external COI","pro","incorrect","pos_extCOI"
226,1,80,6,5,6,6,"no COI","con","correct","neg_noCOI"
227,1,75,6,2,5,5,"no COI","con","correct","neg_noCOI"
228,1,90,6,6,6,6,"no COI","pro","correct","pos_noCOI"
229,1,90,6,6,6,6,"no COI","pro","correct","pos_noCOI"
230,2,60,6,4,5,5,"COI","pro","correct","pos_COI"
231,2,90,5,5,5,5,"COI","con","correct","neg_COI"
232,2,70,6,6,6,6,"COI","pro","correct","pos_COI"
233,2,50,4,4,4,2,"external COI","pro","correct","pos_extCOI"
234,2,50,4,4,4,4,"external COI","pro","correct","pos_extCOI"
235,1,70,5,5,5,6,"no COI","con","correct","neg_noCOI"
236,2,80,6,4,7,6,"external COI","pro","correct","pos_extCOI"
237,1,50,5,5,5,5,"no COI","con","correct","neg_noCOI"
238,1,80,5,6,5,5,"COI","con","incorrect","neg_COI"
239,2,50,1,3,1,1,"COI","pro","correct","pos_COI"
240,1,65,5,5,4,5,"no COI","pro","correct","pos_noCOI"
241,2,95,5,5,5,5,"COI","pro","correct","pos_COI"
242,1,95,6,3,6,6,"no COI","con","correct","neg_noCOI"
243,1,75,6,5,4,6,"no COI","pro","correct","pos_noCOI"
244,1,80,5,5,5,5,"no COI","pro","correct","pos_noCOI"
245,2,15,4,4,4,4,"external COI","con","correct","neg_extCOI"
246,2,50,4,4,4,4,"COI","con","correct","neg_COI"
247,1,80,5,6,5,5,"no COI","pro","correct","pos_noCOI"
248,1,90,6,5,6,6,"COI","con","incorrect","neg_COI"
249,1,60,4,5,4,4,"no COI","pro","correct","pos_noCOI"
250,2,25,3,2,3,2,"external COI","pro","correct","pos_extCOI"
251,1,50,4,4,4,4,"no COI","pro","correct","pos_noCOI"
252,1,70,6,4,5,6,"external COI","pro","incorrect","pos_extCOI"
253,2,65,6,6,5,6,"COI","pro","correct","pos_COI"
254,1,60,6,5,5,6,"COI","con","incorrect","neg_COI"
255,2,90,5,6,5,6,"external COI","con","correct","neg_extCOI"
256,2,60,4,4,5,5,"COI","con","correct","neg_COI"
257,1,65,5,5,5,5,"no COI","con","correct","neg_noCOI"
258,1,95,4,4,5,6,"external COI","con","incorrect","neg_extCOI"
259,1,40,4,4,4,3,"no COI","con","correct","neg_noCOI"
260,1,75,6,6,5,4,"no COI","con","correct","neg_noCOI"
261,1,70,5,4,6,5,"no COI","pro","correct","pos_noCOI"
262,1,90,7,6,7,6,"external COI","con","incorrect","neg_extCOI"
263,2,75,5,4,3,4,"external COI","con","correct","neg_extCOI"
264,2,75,5,5,5,4,"COI","pro","correct","pos_COI"
265,2,20,2,3,3,2,"external COI","pro","correct","pos_extCOI"
266,2,90,6,6,7,6,"external COI","pro","correct","pos_extCOI"
267,2,67,5,3,4,5,"external COI","con","correct","neg_extCOI"
268,2,50,4,2,4,3,"external COI","pro","correct","pos_extCOI"
269,2,90,5,4,5,5,"external COI","con","correct","neg_extCOI"
270,2,90,6,4,6,6,"COI","con","correct","neg_COI"
271,2,80,4,4,6,3,"COI","pro","correct","pos_COI"
272,2,65,5,4,4,5,"external COI","con","correct","neg_extCOI"
273,2,65,6,5,5,5,"external COI","pro","correct","pos_extCOI"
274,2,80,3,3,3,3,"external COI","pro","correct","pos_extCOI"
275,2,50,4,3,4,3,"external COI","pro","correct","pos_extCOI"
276,1,50,4,4,5,4,"no COI","pro","correct","pos_noCOI"
277,2,50,4,5,5,3,"COI","pro","correct","pos_COI"
278,1,65,5,5,5,5,"no COI","pro","correct","pos_noCOI"
279,2,75,5,6,5,6,"COI","pro","correct","pos_COI"
280,2,90,6,6,6,6,"no COI","con","incorrect","neg_noCOI"
281,2,40,2,4,4,2,"COI","pro","correct","pos_COI"
282,2,40,2,3,3,3,"external COI","pro","correct","pos_extCOI"
283,2,50,4,4,5,4,"COI","con","correct","neg_COI"
284,2,70,6,5,6,6,"COI","con","correct","neg_COI"
285,1,10,2,2,2,2,"no COI","con","correct","neg_noCOI"
286,1,70,5,5,5,5,"no COI","pro","correct","pos_noCOI"
287,1,60,6,6,6,6,"no COI","pro","correct","pos_noCOI"
288,2,50,5,4,5,4,"no COI","con","incorrect","neg_noCOI"
289,2,90,6,6,6,6,"external COI","con","correct","neg_extCOI"
290,2,90,6,6,6,7,"COI","con","correct","neg_COI"
291,2,80,6,5,6,5,"external COI","pro","correct","pos_extCOI"
292,1,85,5,4,7,7,"no COI","pro","correct","pos_noCOI"
293,2,80,5,4,5,5,"COI","con","correct","neg_COI"
294,2,50,4,4,3,4,"external COI","pro","correct","pos_extCOI"
295,1,60,4,4,4,4,"no COI","con","correct","neg_noCOI"
296,1,75,6,2,6,6,"no COI","pro","correct","pos_noCOI"
297,1,80,5,5,5,5,"no COI","pro","correct","pos_noCOI"
298,2,30,4,2,4,2,"external COI","pro","correct","pos_extCOI"
299,1,50,4,5,4,6,"no COI","con","correct","neg_noCOI"
300,2,70,6,3,6,6,"COI","con","correct","neg_COI"
301,2,75,5,2,2,2,"COI","pro","correct","pos_COI"
302,2,90,7,6,7,7,"COI","con","correct","neg_COI"
303,1,56,6,6,4,5,"no COI","con","correct","neg_noCOI"
304,2,65,5,4,4,5,"external COI","pro","correct","pos_extCOI"
305,2,90,3,5,5,5,"external COI","pro","correct","pos_extCOI"
306,2,90,6,4,6,6,"external COI","con","correct","neg_extCOI"
307,1,95,6,4,6,6,"no COI","pro","correct","pos_noCOI"
308,2,95,6,6,6,6,"COI","con","correct","neg_COI"
309,2,70,5,4,4,5,"external COI","pro","correct","pos_extCOI"
310,1,75,5,5,5,5,"no COI","con","correct","neg_noCOI"
311,2,3,3,4,6,3,"COI","pro","correct","pos_COI"
312,2,50,5,4,4,3,"external COI","pro","correct","pos_extCOI"
313,1,50,4,4,4,4,"COI","pro","incorrect","pos_COI"
314,2,50,6,5,4,6,"external COI","con","correct","neg_extCOI"
315,2,60,5,6,5,6,"external COI","con","correct","neg_extCOI"
316,2,60,6,4,6,6,"external COI","con","correct","neg_extCOI"
317,2,55,3,3,3,3,"external COI","pro","correct","pos_extCOI"
318,1,80,5,5,5,5,"no COI","pro","correct","pos_noCOI"
319,1,50,4,4,4,4,"no COI","con","correct","neg_noCOI"
320,2,55,5,4,5,5,"external COI","pro","correct","pos_extCOI"
321,2,80,7,7,7,7,"external COI","pro","correct","pos_extCOI"
322,2,90,5,5,4,6,"COI","con","correct","neg_COI"
323,2,90,6,6,7,7,"COI","con","correct","neg_COI"
324,2,30,3,3,3,3,"external COI","con","correct","neg_extCOI"
325,1,80,6,6,6,6,"no COI","con","correct","neg_noCOI"
326,2,65,4,3,5,4,"external COI","pro","correct","pos_extCOI"
327,1,75,5,5,5,5,"no COI","pro","correct","pos_noCOI"
328,1,75,6,6,5,6,"no COI","pro","correct","pos_noCOI"
329,2,80,5,5,4,6,"no COI","con","incorrect","neg_noCOI"
330,2,35,5,5,2,5,"external COI","pro","correct","pos_extCOI"
331,1,50,5,5,5,5,"no COI","pro","correct","pos_noCOI"
332,2,35,4,2,1,4,"COI","pro","correct","pos_COI"
333,2,75,5,5,6,5,"COI","con","correct","neg_COI"
334,2,58,5,3,5,5,"COI","con","correct","neg_COI"
335,2,40,7,7,7,6,"COI","pro","correct","pos_COI"
336,1,60,5,5,4,4,"COI","pro","incorrect","pos_COI"
337,1,80,6,6,6,6,"no COI","con","correct","neg_noCOI"
338,2,80,5,4,5,5,"external COI","con","correct","neg_extCOI"
339,2,80,6,4,6,5,"external COI","pro","correct","pos_extCOI"
340,1,90,5,4,4,5,"external COI","pro","incorrect","pos_extCOI"
341,2,85,6,5,6,5,"no COI","con","incorrect","neg_noCOI"
342,1,65,5,5,5,5,"no COI","pro","correct","pos_noCOI"
343,2,50,5,5,5,2,"external COI","pro","correct","pos_extCOI"
344,2,85,6,5,5,6,"COI","pro","correct","pos_COI"
345,1,80,6,4,5,6,"no COI","con","correct","neg_noCOI"
346,2,20,3,2,3,1,"external COI","pro","correct","pos_extCOI"
347,2,40,5,5,3,5,"COI","con","correct","neg_COI"
348,2,45,4,4,4,4,"no COI","con","incorrect","neg_noCOI"
349,2,40,4,4,5,4,"COI","pro","correct","pos_COI"
350,1,80,5,4,5,5,"COI","con","incorrect","neg_COI"
351,2,80,6,6,4,6,"COI","con","correct","neg_COI"
352,2,90,6,6,6,6,"external COI","con","correct","neg_extCOI"
353,2,10,4,4,4,4,"no COI","con","incorrect","neg_noCOI"
354,2,80,5,4,5,5,"COI","pro","correct","pos_COI"
355,2,90,6,5,7,6,"COI","con","correct","neg_COI"
356,1,60,4,3,5,5,"no COI","con","correct","neg_noCOI"
357,1,50,5,3,5,5,"COI","pro","incorrect","pos_COI"
358,2,80,4,4,4,4,"external COI","pro","correct","pos_extCOI"
359,1,85,5,5,5,3,"COI","con","incorrect","neg_COI"
360,2,90,5,3,5,5,"external COI","con","correct","neg_extCOI"
361,1,50,5,4,4,4,"no COI","con","correct","neg_noCOI"
362,1,40,5,4,5,3,"no COI","pro","correct","pos_noCOI"
363,2,60,2,3,3,3,"external COI","pro","correct","pos_extCOI"
364,1,60,5,5,5,5,"no COI","con","correct","neg_noCOI"
365,2,95,7,5,6,6,"COI","con","correct","neg_COI"
366,2,60,5,4,4,4,"external COI","pro","correct","pos_extCOI"
367,2,50,5,5,5,5,"COI","con","correct","neg_COI"
368,1,75,5,5,5,5,"no COI","con","correct","neg_noCOI"
369,1,80,5,6,5,5,"no COI","con","correct","neg_noCOI"
370,2,50,4,4,4,4,"external COI","con","correct","neg_extCOI"
371,2,60,5,5,6,5,"COI","pro","correct","pos_COI"
372,2,70,5,6,5,7,"external COI","pro","correct","pos_extCOI"
373,2,80,5,4,5,7,"external COI","con","correct","neg_extCOI"
374,2,70,5,5,5,5,"external COI","pro","correct","pos_extCOI"
375,2,50,5,4,5,2,"COI","pro","correct","pos_COI"
376,2,70,6,3,5,6,"external COI","con","correct","neg_extCOI"
377,1,70,4,5,5,6,"no COI","pro","correct","pos_noCOI"
378,1,70,6,5,5,5,"no COI","pro","correct","pos_noCOI"
379,1,70,5,5,5,5,"no COI","pro","correct","pos_noCOI"
380,2,40,4,2,4,2,"COI","pro","correct","pos_COI"
381,1,60,5,4,5,4,"no COI","con","correct","neg_noCOI"
382,2,95,6,6,6,6,"COI","con","correct","neg_COI"
383,1,80,6,6,6,6,"COI","pro","incorrect","pos_COI"
384,1,75,7,6,6,6,"COI","pro","incorrect","pos_COI"
385,2,60,5,4,6,5,"external COI","pro","correct","pos_extCOI"
386,1,60,5,5,5,5,"no COI","pro","correct","pos_noCOI"
387,1,70,5,6,5,6,"no COI","pro","correct","pos_noCOI"
388,2,75,6,6,6,6,"external COI","pro","correct","pos_extCOI"
389,2,50,5,5,5,5,"COI","con","correct","neg_COI"
390,1,80,6,6,6,6,"no COI","pro","correct","pos_noCOI"
391,1,75,6,6,6,6,"no COI","con","correct","neg_noCOI"
392,2,60,5,5,5,5,"external COI","pro","correct","pos_extCOI"
393,2,60,1,1,2,2,"COI","pro","correct","pos_COI"
394,2,80,6,5,6,6,"external COI","pro","correct","pos_extCOI"
395,2,60,3,3,4,3,"external COI","pro","correct","pos_extCOI"
396,1,80,6,6,6,6,"no COI","con","correct","neg_noCOI"
397,1,50,5,4,5,5,"no COI","con","correct","neg_noCOI"
398,1,70,5,4,5,6,"no COI","pro","correct","pos_noCOI"
399,2,90,6,5,6,5,"external COI","con","correct","neg_extCOI"
400,2,60,6,4,6,6,"external COI","con","correct","neg_extCOI"
401,1,80,5,5,5,6,"no COI","con","correct","neg_noCOI"
402,1,75,6,6,6,6,"no COI","pro","correct","pos_noCOI"
403,1,50,5,4,5,4,"external COI","pro","incorrect","pos_extCOI"
404,2,88,6,4,6,6,"COI","con","correct","neg_COI"
405,1,70,4,4,6,6,"no COI","pro","correct","pos_noCOI"
406,1,80,6,6,6,6,"no COI","con","correct","neg_noCOI"
407,1,100,6,6,6,6,"no COI","con","correct","neg_noCOI"
408,2,50,5,3,5,5,"external COI","con","correct","neg_extCOI"
409,2,15,5,5,5,5,"external COI","pro","correct","pos_extCOI"
410,2,50,6,5,6,6,"COI","con","correct","neg_COI"
411,1,98,6,6,7,6,"no COI","pro","correct","pos_noCOI"
412,2,50,2,3,4,2,"external COI","pro","correct","pos_extCOI"
413,1,75,6,6,7,6,"no COI","pro","correct","pos_noCOI"
414,2,75,5,5,4,5,"COI","con","correct","neg_COI"
415,1,95,6,5,5,5,"no COI","pro","correct","pos_noCOI"
416,2,90,6,4,6,6,"external COI","con","correct","neg_extCOI"
417,2,75,5,3,4,6,"external COI","con","correct","neg_extCOI"
418,2,70,7,4,6,7,"external COI","con","correct","neg_extCOI"
419,1,80,5,4,5,5,"no COI","pro","correct","pos_noCOI"
420,2,75,5,5,5,5,"COI","con","correct","neg_COI"
421,1,80,5,5,5,5,"no COI","pro","correct","pos_noCOI"
422,2,65,7,5,6,5,"COI","pro","correct","pos_COI"
