"ID","trust_study","trust_authors","trust_journal","trust_company","est_replicability","attention_check","COI","result","AC"
79,5,5,4,4,65,2,"COI","pro","correct"
80,5,5,5,5,70,2,"COI","con","correct"
81,4,5,4,4,40,2,"COI","pro","correct"
82,6,6,6,6,65,1,"no COI","pro","correct"
83,6,4,5,4,85,1,"no COI","pro","correct"
84,5,5,5,5,50,2,"COI","pro","correct"
85,6,6,6,6,95,1,"no COI","pro","correct"
86,5,5,5,5,50,2,"COI","con","correct"
87,6,6,6,5,80,2,"COI","con","correct"
88,6,6,6,6,85,1,"no COI","con","correct"
89,1,1,3,3,40,2,"COI","pro","correct"
90,6,6,4,4,90,1,"no COI","pro","correct"
91,2,3,3,1,50,2,"COI","pro","correct"
92,5,5,5,5,80,1,"no COI","pro","correct"
93,6,6,6,4,80,2,"COI","con","correct"
94,5,5,5,5,75,1,"no COI","con","correct"
95,5,5,5,5,80,1,"no COI","con","correct"
96,5,6,6,6,100,2,"COI","con","correct"
97,6,6,6,6,70,1,"no COI","pro","correct"
98,3,3,5,3,70,2,"COI","pro","correct"
99,5,5,5,5,90,2,"COI","pro","correct"
100,3,4,4,3,60,2,"COI","con","correct"
101,4,4,4,4,50,1,"no COI","pro","correct"
102,4,4,4,3,50,2,"COI","pro","correct"
103,5,5,5,5,75,1,"no COI","pro","correct"
104,5,4,5,4,20,2,"COI","pro","correct"
105,6,6,6,6,95,1,"no COI","con","correct"
106,6,6,6,6,75,1,"no COI","con","correct"
107,6,6,6,4,100,2,"COI","con","correct"
108,6,6,6,6,80,1,"COI","pro","incorrect"
109,5,5,4,5,50,1,"no COI","pro","correct"
110,5,4,4,3,60,2,"COI","pro","correct"
111,5,4,5,4,60,2,"no COI","con","incorrect"
112,5,5,5,4,30,2,"COI","con","correct"
113,6,6,6,5,90,1,"no COI","pro","correct"
114,5,5,5,4,70,2,"COI","pro","correct"
115,5,6,6,6,95,1,"no COI","pro","correct"
116,5,5,5,4,49,1,"no COI","con","correct"
117,6,6,7,5,80,1,"no COI","pro","correct"
118,2,2,2,3,20,1,"COI","pro","incorrect"
119,7,7,7,7,100,1,"no COI","pro","correct"
120,6,6,6,4,75,2,"COI","pro","correct"
121,6,6,6,5,80,1,"no COI","pro","correct"
122,4,5,5,5,80,2,"COI","pro","correct"
123,6,6,5,2,75,1,"no COI","con","correct"
124,6,6,5,4,60,1,"no COI","pro","correct"
125,5,5,6,5,80,2,"COI","con","correct"
126,5,5,5,4,75,2,"COI","con","correct"
127,6,5,6,4,93,2,"COI","con","correct"
128,5,5,5,5,30,1,"no COI","pro","correct"
129,6,6,4,5,75,1,"COI","con","incorrect"
130,5,5,5,5,90,2,"COI","pro","correct"
131,4,3,3,3,50,1,"COI","con","incorrect"
132,5,5,5,5,50,1,"COI","con","incorrect"
133,4,5,5,4,75,1,"no COI","con","correct"
134,4,4,5,4,60,1,"no COI","con","correct"
135,6,6,6,6,80,1,"no COI","con","correct"
136,6,6,4,4,85,1,"no COI","con","correct"
137,5,4,5,3,50,1,"no COI","con","correct"
138,6,6,6,6,80,1,"COI","pro","incorrect"
139,6,5,5,5,80,1,"COI","pro","incorrect"
140,4,4,4,4,60,2,"no COI","con","incorrect"
141,6,6,6,6,95,1,"no COI","pro","correct"
142,6,6,6,5,90,2,"COI","pro","correct"
143,4,4,4,4,60,1,"no COI","pro","correct"
144,6,6,6,6,80,2,"COI","con","correct"
145,5,5,6,4,70,1,"no COI","pro","correct"
146,5,5,6,5,75,1,"no COI","con","correct"
147,4,4,4,4,0,1,"no COI","pro","correct"
148,5,4,4,4,100,1,"no COI","con","correct"
149,6,6,6,6,75,2,"COI","pro","correct"
150,5,6,6,4,90,1,"no COI","con","correct"
151,6,6,6,6,80,2,"COI","con","correct"
152,4,4,4,4,50,1,"no COI","con","correct"
153,5,6,5,5,85,2,"COI","pro","correct"
154,6,6,6,6,95,1,"no COI","con","correct"
155,5,5,5,5,60,1,"no COI","con","correct"
156,3,6,3,1,60,2,"COI","pro","correct"
157,6,4,4,4,85,2,"COI","pro","correct"
158,5,6,6,6,78,1,"no COI","pro","correct"
159,4,4,3,4,60,1,"no COI","pro","correct"
160,4,4,2,1,50,2,"COI","con","correct"
161,6,6,6,6,95,1,"no COI","con","correct"
162,6,6,6,6,75,1,"no COI","pro","correct"
163,6,6,6,5,80,1,"no COI","con","correct"
164,5,4,4,4,50,1,"COI","con","incorrect"
165,6,7,6,4,95,2,"COI","con","correct"
166,5,6,7,6,75,1,"COI","con","incorrect"
167,4,4,4,4,0,1,"no COI","con","correct"
168,5,5,5,5,70,1,"no COI","pro","correct"
169,5,5,6,4,80,2,"COI","pro","correct"
170,5,5,4,6,68,2,"no COI","con","incorrect"
171,6,6,6,6,90,2,"COI","con","correct"
172,5,6,5,5,50,2,"COI","con","correct"
173,6,6,6,6,70,1,"no COI","con","correct"
174,6,6,6,5,90,2,"COI","pro","correct"
175,5,5,5,4,40,2,"COI","pro","correct"
176,6,6,6,6,80,1,"no COI","con","correct"
177,5,5,5,5,50,2,"COI","con","correct"
178,5,6,6,4,80,1,"no COI","pro","correct"
179,6,6,6,6,50,1,"COI","con","incorrect"
180,4,4,4,4,80,1,"COI","pro","incorrect"
181,6,6,6,5,85,1,"no COI","pro","correct"
182,6,6,6,4,90,1,"no COI","con","correct"
183,6,6,6,2,100,1,"COI","con","incorrect"
184,5,6,6,6,85,1,"no COI","con","correct"
185,5,5,5,5,80,1,"no COI","pro","correct"
186,6,6,6,5,80,1,"no COI","pro","correct"
187,5,3,4,5,0,2,"COI","pro","correct"
188,6,6,7,5,70,1,"no COI","pro","correct"
189,6,6,6,6,90,1,"no COI","con","correct"
190,5,4,5,6,85,1,"no COI","con","correct"
191,4,4,3,4,60,2,"COI","pro","correct"
192,5,5,5,3,80,1,"no COI","con","correct"
193,6,6,6,6,75,2,"COI","con","correct"
194,5,5,5,5,70,2,"COI","con","correct"
195,5,5,5,5,70,2,"COI","con","correct"
196,5,5,5,5,60,1,"no COI","pro","correct"
197,7,7,7,4,90,1,"no COI","con","correct"
198,6,5,5,6,90,2,"COI","con","correct"
199,2,3,5,4,40,2,"COI","pro","correct"
200,6,6,6,6,80,1,"no COI","con","correct"
201,6,6,6,6,90,1,"no COI","con","correct"
202,6,6,6,6,90,1,"no COI","pro","correct"
203,5,6,5,5,75,1,"no COI","pro","correct"
204,5,5,6,5,80,2,"COI","pro","correct"
205,6,6,6,6,90,1,"no COI","pro","correct"
206,6,6,5,3,75,1,"no COI","con","correct"
207,3,3,3,3,60,2,"COI","pro","correct"
208,6,4,6,5,90,2,"COI","con","correct"
209,2,2,2,2,50,1,"COI","pro","incorrect"
210,6,6,7,7,80,1,"no COI","pro","correct"
211,5,4,4,4,50,1,"no COI","pro","correct"
212,5,5,6,2,95,2,"COI","con","correct"
213,6,6,6,6,95,1,"COI","con","incorrect"
214,6,6,5,4,80,2,"COI","con","correct"
215,6,6,6,4,70,2,"COI","pro","correct"
216,4,4,5,4,50,2,"COI","con","correct"
217,7,7,7,7,50,1,"no COI","con","correct"
218,5,5,5,5,80,1,"no COI","con","correct"
219,5,5,5,4,75,1,"no COI","con","correct"
220,4,4,4,4,85,1,"no COI","con","correct"
221,5,5,4,4,50,2,"COI","pro","correct"
222,5,6,6,6,75,1,"COI","con","incorrect"
223,5,4,4,4,70,1,"COI","con","incorrect"
224,5,5,5,5,80,2,"COI","con","correct"
225,4,5,5,4,60,1,"no COI","pro","correct"
226,7,7,7,7,100,2,"COI","pro","correct"
227,5,5,5,5,50,2,"COI","con","correct"
228,4,4,4,4,95,1,"no COI","con","correct"
229,6,6,6,5,20,1,"no COI","pro","correct"
230,2,2,2,2,20,2,"COI","pro","correct"
231,5,5,5,5,70,1,"no COI","con","correct"
232,4,4,5,4,75,1,"no COI","pro","correct"
233,5,5,5,5,75,2,"COI","con","correct"
234,5,6,6,4,60,2,"no COI","pro","incorrect"
235,5,5,5,4,80,1,"no COI","pro","correct"
236,4,6,6,4,60,2,"COI","con","correct"
237,4,4,4,4,50,2,"no COI","pro","incorrect"
238,6,6,6,6,90,2,"COI","pro","correct"
239,5,5,5,4,90,2,"COI","con","correct"
240,4,4,4,4,60,1,"no COI","pro","correct"
241,5,6,4,1,70,2,"COI","con","correct"
242,6,6,6,6,99,2,"COI","pro","correct"
243,4,4,5,4,80,1,"no COI","con","correct"
244,5,5,5,5,65,2,"COI","con","correct"
245,5,4,5,3,70,1,"no COI","pro","correct"
246,5,5,5,5,80,2,"COI","pro","correct"
247,4,4,4,4,50,1,"no COI","con","correct"
248,3,5,5,5,71,2,"no COI","con","incorrect"
249,6,5,5,5,75,2,"COI","pro","correct"
250,5,5,5,5,50,2,"COI","pro","correct"
251,6,6,6,6,80,2,"COI","con","correct"
252,4,4,4,4,50,2,"COI","pro","correct"
253,5,5,4,4,60,2,"COI","pro","correct"
254,2,1,4,2,20,2,"COI","pro","correct"
255,4,4,4,4,50,1,"no COI","pro","correct"
256,6,6,6,5,80,2,"COI","pro","correct"
257,6,6,5,4,85,2,"COI","pro","correct"
258,4,4,4,4,50,1,"no COI","pro","correct"
259,5,5,5,4,70,1,"no COI","pro","correct"
260,5,5,5,5,75,1,"COI","con","incorrect"
261,6,6,6,4,90,2,"COI","con","correct"
262,6,6,4,4,80,1,"COI","con","incorrect"
263,6,6,6,2,90,1,"no COI","con","correct"
264,6,6,6,4,75,2,"COI","pro","correct"
265,5,5,5,4,80,1,"no COI","con","correct"
266,6,6,6,6,95,1,"no COI","pro","correct"
267,2,4,3,4,10,1,"no COI","pro","correct"
268,3,5,3,3,50,2,"no COI","con","incorrect"
269,5,4,5,4,50,2,"COI","con","correct"
270,7,7,7,7,100,1,"no COI","con","correct"
271,5,5,6,4,90,2,"COI","pro","correct"
272,5,5,5,5,50,1,"no COI","con","correct"
273,2,3,4,2,20,2,"COI","pro","correct"
274,5,5,4,4,80,1,"no COI","pro","correct"
275,6,6,6,6,100,2,"COI","pro","correct"
276,6,6,6,5,65,1,"no COI","pro","correct"
277,5,5,5,5,60,2,"COI","con","correct"
278,3,3,4,3,30,2,"COI","pro","correct"
279,6,6,6,5,90,1,"COI","pro","incorrect"
280,3,4,4,3,70,2,"COI","pro","correct"
281,6,6,6,6,90,1,"COI","pro","incorrect"
282,4,5,4,4,50,2,"COI","pro","correct"
283,6,6,6,5,80,1,"no COI","pro","correct"
284,6,6,6,6,80,1,"no COI","con","correct"
285,6,5,5,4,80,1,"no COI","pro","correct"
286,6,7,7,6,90,1,"no COI","pro","correct"
287,4,4,4,4,50,2,"no COI","con","incorrect"
288,5,5,5,5,75,1,"no COI","con","correct"
289,4,5,5,4,10,1,"COI","pro","incorrect"
290,7,7,6,6,50,2,"COI","con","correct"
291,4,4,4,4,50,1,"no COI","con","correct"
292,5,5,5,5,60,2,"COI","con","correct"
293,5,6,5,5,80,1,"no COI","con","correct"
294,6,6,6,6,80,1,"no COI","pro","correct"
295,6,5,4,3,30,2,"COI","con","correct"
296,6,5,6,6,85,2,"COI","pro","correct"
297,3,3,5,4,25,2,"COI","con","correct"
298,1,1,3,1,40,2,"COI","pro","correct"
299,5,5,5,4,90,1,"no COI","con","correct"
300,6,5,5,5,90,2,"COI","con","correct"
301,4,4,5,4,50,1,"no COI","pro","correct"
302,2,2,5,1,30,2,"COI","pro","correct"
303,5,5,5,5,50,1,"COI","pro","incorrect"
304,3,3,3,4,10,2,"no COI","con","incorrect"
305,7,7,7,7,90,1,"no COI","con","correct"
306,6,5,5,5,95,1,"no COI","pro","correct"
307,6,6,6,3,60,1,"no COI","pro","correct"
308,6,6,6,6,100,1,"no COI","con","correct"
309,5,5,5,5,60,1,"no COI","pro","correct"
310,6,6,7,7,100,1,"COI","con","incorrect"
311,5,5,5,5,100,1,"no COI","pro","correct"
312,5,6,6,5,85,1,"no COI","pro","correct"
313,5,6,5,4,75,2,"COI","con","correct"
314,2,4,4,3,60,2,"COI","pro","correct"
315,5,6,7,6,90,2,"COI","con","correct"
316,7,7,7,7,99,1,"no COI","pro","correct"
317,6,6,6,4,90,2,"COI","con","correct"
318,6,6,6,5,90,2,"COI","con","correct"
319,6,6,6,7,80,1,"no COI","pro","correct"
320,6,6,6,6,75,1,"no COI","pro","correct"
321,4,4,4,3,70,2,"COI","pro","correct"
322,6,6,6,6,80,1,"COI","pro","incorrect"
323,5,5,5,5,50,1,"no COI","con","correct"
324,6,6,6,4,90,1,"no COI","pro","correct"
325,5,5,5,4,100,2,"COI","con","correct"
326,7,7,7,5,50,1,"no COI","con","correct"
327,5,5,4,5,70,2,"COI","con","correct"
328,4,4,4,4,50,1,"no COI","con","correct"
329,6,6,6,4,50,1,"no COI","con","correct"
330,6,6,6,4,90,1,"no COI","con","correct"
331,5,6,6,5,70,2,"no COI","pro","incorrect"
332,6,6,5,5,80,1,"no COI","con","correct"
333,6,6,6,6,85,1,"no COI","con","correct"
334,5,5,5,5,85,1,"no COI","con","correct"
335,6,6,6,4,50,2,"COI","con","correct"
336,5,5,6,5,60,1,"no COI","pro","correct"
337,6,6,6,6,90,1,"no COI","pro","correct"
338,6,6,5,2,95,2,"COI","con","correct"
339,5,5,6,6,100,2,"no COI","pro","incorrect"
340,5,5,6,6,80,2,"COI","pro","correct"
341,6,5,5,4,60,2,"no COI","con","incorrect"
342,5,4,6,4,70,1,"no COI","con","correct"
343,6,6,4,5,80,1,"no COI","pro","correct"
344,5,4,6,5,75,2,"COI","con","correct"
345,3,3,3,3,10,2,"COI","pro","correct"
346,6,6,6,5,80,1,"no COI","pro","correct"
347,5,5,5,5,80,1,"COI","pro","incorrect"
348,6,6,6,5,80,2,"COI","pro","correct"
349,5,5,5,5,50,1,"COI","pro","incorrect"
350,6,6,6,6,80,1,"COI","pro","incorrect"
351,6,6,6,6,70,2,"COI","pro","correct"
352,3,3,3,3,60,2,"COI","pro","correct"
353,4,5,5,4,80,2,"no COI","pro","incorrect"
354,4,4,4,4,50,1,"no COI","pro","correct"
355,5,5,5,5,90,1,"no COI","con","correct"
356,6,6,6,6,100,2,"COI","con","correct"
357,6,6,6,6,100,1,"no COI","pro","correct"
358,6,5,5,4,85,1,"no COI","con","correct"
359,2,2,4,1,50,2,"COI","pro","correct"
360,6,6,6,5,70,1,"COI","pro","incorrect"
361,6,5,4,4,85,1,"no COI","con","correct"
362,5,4,6,5,65,2,"COI","con","correct"
363,6,4,5,5,85,1,"COI","con","incorrect"
364,6,6,6,6,70,1,"no COI","pro","correct"
365,2,2,2,2,0,2,"COI","pro","correct"
366,5,5,5,5,80,1,"no COI","con","correct"
367,5,5,5,5,75,2,"no COI","con","incorrect"
368,6,6,7,6,90,2,"COI","con","correct"
369,6,6,6,4,85,2,"COI","pro","correct"
370,6,5,6,5,60,2,"COI","pro","correct"
371,7,6,6,7,90,1,"no COI","con","correct"
372,5,5,5,5,60,1,"COI","pro","incorrect"
373,6,6,6,7,90,2,"COI","con","correct"
374,6,7,6,5,70,1,"no COI","con","correct"
375,7,7,7,7,100,2,"COI","pro","correct"
376,5,4,5,4,90,1,"no COI","con","correct"
377,5,5,5,4,50,1,"COI","pro","incorrect"
378,5,4,5,5,60,2,"COI","pro","correct"
379,5,5,4,4,65,1,"no COI","con","correct"
380,5,5,5,5,50,1,"no COI","con","correct"
381,6,5,6,5,97,1,"COI","con","incorrect"
382,6,6,7,5,85,2,"COI","pro","correct"
383,5,6,6,5,75,2,"COI","con","correct"
384,5,4,5,4,80,2,"COI","con","correct"
385,5,5,5,5,50,1,"no COI","con","correct"
386,5,5,5,5,65,1,"no COI","pro","correct"
387,7,7,4,4,95,1,"no COI","con","correct"
388,4,5,5,4,100,1,"no COI","con","correct"
389,6,6,6,6,90,1,"no COI","pro","correct"
390,5,5,6,3,60,2,"COI","pro","correct"
391,6,7,6,6,80,1,"no COI","con","correct"
392,2,4,5,3,25,1,"COI","pro","incorrect"
393,5,4,4,4,50,2,"no COI","pro","incorrect"
394,5,5,5,5,70,2,"COI","con","correct"
395,4,5,6,4,60,2,"COI","pro","correct"
396,5,5,5,5,66,1,"no COI","pro","correct"
397,6,4,4,4,50,1,"COI","pro","incorrect"
398,6,6,6,6,90,2,"COI","pro","correct"
399,6,4,5,6,90,1,"no COI","con","correct"
400,6,6,7,6,90,2,"COI","pro","correct"
401,3,4,6,4,50,2,"COI","pro","correct"
402,6,6,6,6,80,1,"no COI","pro","correct"
403,6,6,6,6,60,1,"no COI","pro","correct"
404,6,6,6,6,60,2,"COI","con","correct"
405,6,6,6,4,90,1,"no COI","con","correct"
406,4,4,5,6,65,2,"COI","pro","correct"
407,5,5,5,5,90,2,"COI","con","correct"
408,5,5,4,6,75,2,"no COI","con","incorrect"
409,4,6,6,4,60,2,"COI","con","correct"
410,1,1,1,1,15,2,"COI","pro","correct"
411,6,5,5,5,80,1,"no COI","pro","correct"
412,5,5,5,5,70,2,"COI","pro","correct"
413,3,5,5,2,60,2,"COI","pro","correct"
414,4,4,4,4,50,2,"no COI","pro","incorrect"
415,6,5,5,6,100,2,"COI","pro","correct"
416,6,6,5,6,90,1,"COI","con","incorrect"
417,6,6,6,6,95,2,"no COI","pro","incorrect"
418,6,6,5,3,70,1,"no COI","con","correct"
419,6,6,6,4,75,1,"no COI","pro","correct"
420,5,5,5,4,50,2,"COI","pro","correct"
421,6,6,6,4,50,1,"no COI","con","correct"
422,6,4,6,4,75,2,"COI","pro","correct"
423,5,4,4,3,10,2,"COI","pro","correct"
424,6,6,6,6,80,1,"no COI","pro","correct"
425,5,5,6,5,65,2,"COI","con","correct"
426,3,3,3,4,50,1,"no COI","con","correct"
427,5,5,5,5,80,1,"no COI","con","correct"
428,6,6,6,5,80,2,"COI","con","correct"
429,4,5,5,4,80,2,"COI","con","correct"
430,2,4,4,1,50,1,"no COI","pro","correct"
431,6,6,6,2,90,1,"no COI","con","correct"
432,5,5,5,5,60,2,"no COI","pro","incorrect"
433,5,5,6,4,70,1,"no COI","con","correct"
434,5,5,5,5,70,1,"no COI","pro","correct"
435,5,5,4,4,70,1,"no COI","pro","correct"
436,5,4,4,4,80,1,"COI","pro","incorrect"
437,6,6,6,6,90,1,"COI","con","incorrect"
438,5,6,4,2,80,1,"no COI","con","correct"
439,6,6,4,5,80,2,"COI","con","correct"
440,4,5,4,4,80,2,"COI","pro","correct"
441,6,6,6,6,75,1,"no COI","pro","correct"
442,6,7,6,6,98,1,"COI","con","incorrect"
443,5,5,6,5,70,2,"COI","pro","correct"
444,5,5,5,4,75,1,"no COI","pro","correct"
445,4,4,4,4,70,1,"no COI","pro","correct"
446,5,5,5,4,70,2,"COI","con","correct"
447,7,7,7,4,70,2,"COI","con","correct"
448,6,6,6,4,90,2,"COI","con","correct"
449,6,6,6,6,90,1,"no COI","pro","correct"
450,6,6,6,6,80,1,"COI","pro","incorrect"
451,3,3,3,3,40,2,"no COI","con","incorrect"
452,5,6,6,5,100,2,"COI","con","correct"
453,5,6,6,6,75,2,"COI","con","correct"
454,6,6,6,6,70,1,"no COI","con","correct"
455,5,5,5,4,80,1,"no COI","pro","correct"
456,5,5,5,5,70,1,"no COI","con","correct"
457,6,6,5,6,80,1,"no COI","pro","correct"
458,6,6,7,5,100,1,"COI","con","incorrect"
459,5,5,6,5,75,2,"COI","pro","correct"
460,4,4,4,4,50,1,"no COI","con","correct"
461,6,6,6,6,80,2,"COI","con","correct"
462,6,6,6,4,75,1,"no COI","con","correct"
463,6,6,6,4,70,2,"COI","con","correct"
464,6,6,6,4,65,1,"no COI","con","correct"
465,5,4,4,3,50,2,"no COI","con","incorrect"
466,7,7,7,7,100,1,"no COI","pro","correct"
467,5,4,4,4,65,2,"COI","pro","correct"
468,5,4,4,4,75,1,"no COI","pro","correct"
469,6,6,6,5,50,1,"no COI","con","correct"
470,6,6,6,6,100,1,"no COI","pro","correct"
471,5,5,5,5,75,1,"no COI","pro","correct"
472,6,6,6,5,80,1,"no COI","con","correct"
473,6,6,6,5,80,1,"no COI","con","correct"
474,5,5,5,5,60,1,"no COI","con","correct"
475,6,5,5,4,50,1,"no COI","con","correct"
476,5,5,5,5,75,2,"COI","con","correct"
477,5,5,4,4,50,1,"no COI","con","correct"
478,6,6,6,6,90,2,"COI","pro","correct"
479,3,4,5,4,90,2,"COI","con","correct"
480,4,4,5,4,50,1,"no COI","pro","correct"
481,4,4,4,4,50,2,"COI","con","correct"
482,6,6,5,2,90,2,"COI","con","correct"
483,4,5,5,5,70,2,"COI","con","correct"
484,6,6,7,5,90,1,"no COI","con","correct"
485,5,5,5,5,60,1,"no COI","con","correct"
486,4,5,4,3,10,2,"COI","pro","correct"
487,5,5,5,4,50,1,"no COI","con","correct"
488,6,6,6,6,80,1,"COI","con","incorrect"
489,6,6,6,1,20,1,"no COI","pro","correct"
490,6,5,5,5,90,1,"COI","con","incorrect"
491,5,5,5,6,88,2,"COI","con","correct"
492,6,6,5,5,50,1,"no COI","pro","correct"
493,6,6,6,6,80,2,"COI","con","correct"
494,5,4,4,5,75,2,"COI","pro","correct"
495,6,5,5,5,75,1,"no COI","pro","correct"
496,6,6,6,6,85,1,"COI","pro","incorrect"
497,5,5,5,5,75,1,"no COI","con","correct"
498,4,4,4,4,50,1,"no COI","pro","correct"
499,5,5,5,5,50,2,"COI","con","correct"
500,7,6,7,6,95,2,"COI","con","correct"
501,6,6,6,5,85,2,"COI","con","correct"
502,6,6,6,5,83,2,"COI","pro","correct"
503,4,4,4,4,70,2,"COI","con","correct"
504,5,5,5,5,85,1,"no COI","con","correct"
505,4,4,4,4,50,1,"COI","pro","incorrect"
506,3,4,7,7,40,1,"COI","con","incorrect"
507,6,6,6,6,80,1,"no COI","pro","correct"
508,5,5,6,4,80,2,"COI","pro","correct"
509,6,6,7,5,75,1,"no COI","pro","correct"
510,6,5,6,5,50,1,"no COI","pro","correct"
511,5,5,5,5,70,2,"COI","pro","correct"
512,6,6,6,6,65,1,"no COI","pro","correct"
513,5,5,6,4,95,1,"no COI","con","correct"
514,7,7,7,3,80,1,"no COI","con","correct"
515,5,4,4,4,70,2,"COI","pro","correct"
516,6,6,6,6,80,2,"COI","pro","correct"
517,7,7,7,7,100,2,"no COI","con","incorrect"
518,5,6,6,5,50,1,"COI","pro","incorrect"
519,7,6,6,6,85,1,"no COI","pro","correct"
520,6,6,6,5,90,1,"COI","con","incorrect"
521,6,6,6,6,50,1,"no COI","con","correct"
522,5,6,6,6,90,1,"no COI","pro","correct"
523,4,5,5,3,51,2,"no COI","pro","incorrect"
524,6,6,6,5,80,1,"no COI","con","correct"
525,4,4,1,5,40,2,"COI","pro","correct"
526,6,6,6,5,90,2,"COI","con","correct"
527,5,4,5,5,100,1,"no COI","con","correct"
528,6,6,6,6,90,1,"no COI","pro","correct"
529,1,1,1,1,5,2,"COI","pro","correct"
530,5,5,6,5,70,2,"no COI","pro","incorrect"
531,5,5,5,5,90,1,"no COI","pro","correct"
532,5,4,5,4,80,2,"COI","con","correct"
533,4,4,4,4,75,1,"no COI","con","correct"
534,5,5,5,5,50,2,"COI","pro","correct"
535,5,5,5,5,50,2,"COI","con","correct"
536,6,6,6,6,80,1,"no COI","con","correct"
537,6,6,6,6,90,1,"no COI","pro","correct"
538,6,6,6,5,75,1,"COI","con","incorrect"
539,5,5,5,5,90,1,"COI","pro","incorrect"
540,5,5,5,4,98,2,"COI","pro","correct"
541,6,7,7,7,100,1,"COI","con","incorrect"
542,3,3,4,3,75,1,"no COI","con","correct"
543,3,4,5,3,60,2,"COI","con","correct"
544,6,6,7,6,90,1,"no COI","con","correct"
545,7,7,7,7,100,1,"no COI","con","correct"
546,6,6,4,6,80,2,"COI","con","correct"
547,6,6,6,6,80,2,"COI","pro","correct"
548,4,4,4,4,50,2,"COI","pro","correct"
549,6,6,6,6,70,1,"no COI","pro","correct"
