"ID","trust_study","trust_authors","trust_journal","trust_company","est_replicability","attention_check","participant_phd","published_empirical","COI","result","AC"
112,2,4,4,2,50,2,"yes","yes","COI","pro","correct"
113,6,6,6,6,80,1,"yes","yes","no COI","con","correct"
114,7,7,7,7,97,1,"yes","yes","no COI","pro","correct"
115,6,6,7,6,90,2,"yes","yes","COI","con","correct"
116,5,4,6,4,75,1,"yes","yes","no COI","con","correct"
117,6,6,6,6,70,1,"yes","yes","COI","pro","incorrect"
118,5,4,4,4,75,2,"yes","yes","COI","con","correct"
119,5,5,4,4,50,1,"yes","yes","no COI","pro","correct"
120,6,6,5,6,75,1,"no","yes","no COI","con","correct"
121,2,3,4,3,33,2,"no","yes","COI","con","correct"
122,5,5,4,4,50,2,"no","yes","COI","pro","correct"
123,3,3,5,3,50,2,"yes","yes","COI","pro","correct"
124,5,5,5,5,70,1,"no","no","no COI","pro","correct"
125,5,5,5,5,75,1,"no","no","no COI","pro","correct"
126,5,4,5,4,60,1,"no","yes","COI","con","incorrect"
127,5,5,5,3,65,1,"yes","yes","no COI","pro","correct"
128,6,6,6,3,90,1,"no","no","no COI","con","correct"
129,5,5,5,5,75,1,"no","no","COI","con","incorrect"
130,4,4,4,4,50,1,"no","no","no COI","con","correct"
131,4,4,6,4,45,2,"no","no","COI","pro","correct"
132,5,4,5,4,50,1,"no","no","no COI","con","correct"
133,7,7,7,4,85,1,"no","no","no COI","pro","correct"
134,4,3,3,4,30,2,"no","no","COI","pro","correct"
135,7,7,7,5,90,1,"no","no","no COI","pro","correct"
136,5,5,5,5,85,1,"no","no","no COI","pro","correct"
137,6,6,6,6,90,2,"yes","no","COI","con","correct"
138,6,6,4,5,60,2,"yes","yes","COI","con","correct"
139,5,5,6,4,65,1,"no","no","no COI","pro","correct"
140,5,5,5,5,75,2,"yes","yes","no COI","con","incorrect"
141,6,6,6,4,75,1,"yes","yes","no COI","pro","correct"
142,6,6,4,4,75,1,"no","yes","no COI","con","correct"
143,6,6,6,6,75,1,"yes","yes","COI","pro","incorrect"
144,5,5,5,5,75,2,"yes","yes","COI","con","correct"
145,6,6,6,6,80,2,"yes","yes","COI","con","correct"
146,6,3,3,2,10,1,"yes","yes","no COI","con","correct"
147,3,5,4,3,50,2,"yes","no","COI","con","correct"
148,6,6,6,6,90,2,"yes","yes","no COI","con","incorrect"
149,7,7,7,7,100,2,"no","no","COI","pro","correct"
150,6,6,6,2,10,1,"yes","yes","no COI","pro","correct"
151,6,5,4,4,75,1,"yes","yes","no COI","con","correct"
152,6,6,6,6,75,1,"no","yes","no COI","con","correct"
153,1,3,3,4,50,2,"yes","yes","COI","pro","correct"
154,5,6,6,5,75,1,"yes","yes","COI","con","incorrect"
155,5,4,4,5,50,2,"yes","yes","COI","pro","correct"
156,6,6,6,6,75,1,"no","yes","no COI","pro","correct"
157,6,7,7,7,90,1,"no","no","COI","con","incorrect"
158,3,2,4,2,50,2,"no","no","COI","pro","correct"
159,3,4,5,3,90,2,"yes","yes","COI","con","correct"
160,4,4,3,2,30,1,"yes","no","no COI","pro","correct"
161,3,3,4,2,40,2,"yes","yes","COI","pro","correct"
162,6,4,4,2,75,2,"no","no","COI","pro","correct"
163,5,4,4,5,50,1,"yes","yes","no COI","pro","correct"
164,1,4,4,2,20,2,"no","yes","COI","pro","correct"
165,6,6,6,5,80,1,"yes","yes","no COI","con","correct"
166,6,6,7,4,80,2,"yes","yes","COI","pro","correct"
167,6,5,5,5,80,1,"yes","yes","no COI","con","correct"
168,6,6,6,6,100,1,"no","no","no COI","pro","correct"
169,7,6,6,4,100,1,"yes","yes","no COI","con","correct"
170,6,6,6,6,100,1,"no","no","no COI","con","correct"
171,6,6,7,4,80,2,"yes","yes","COI","pro","correct"
172,6,6,7,4,80,2,"yes","yes","COI","con","correct"
173,6,6,6,5,60,2,"yes","yes","COI","con","correct"
174,6,6,7,6,70,1,"yes","yes","no COI","pro","correct"
175,6,5,6,6,90,1,"yes","yes","no COI","pro","correct"
176,3,4,6,6,70,2,"no","no","COI","pro","correct"
177,5,5,5,5,75,2,"no","no","COI","pro","correct"
178,7,7,7,7,100,2,"yes","no","COI","pro","correct"
179,5,6,6,6,75,1,"yes","yes","no COI","con","correct"
180,5,6,6,5,49,1,"yes","yes","no COI","pro","correct"
181,6,6,4,4,50,2,"yes","yes","COI","con","correct"
182,4,6,5,3,80,1,"yes","yes","no COI","pro","correct"
183,7,7,7,7,75,1,"yes","yes","no COI","con","correct"
184,5,3,5,4,70,2,"yes","yes","COI","con","correct"
185,5,5,5,5,90,1,"yes","yes","no COI","con","correct"
186,5,5,5,5,80,2,"yes","yes","COI","pro","correct"
187,5,6,6,5,49,2,"yes","yes","COI","pro","correct"
188,5,4,4,4,20,1,"yes","yes","no COI","pro","correct"
189,6,7,6,7,75,2,"yes","yes","COI","con","correct"
190,5,6,6,5,49,2,"yes","yes","COI","con","correct"
191,5,5,5,4,100,1,"yes","no","no COI","con","correct"
192,6,7,6,7,70,1,"yes","yes","COI","pro","incorrect"
193,6,6,6,6,80,1,"yes","yes","no COI","pro","correct"
194,6,6,6,6,80,1,"no","no","no COI","pro","correct"
195,6,6,6,6,75,1,"no","no","no COI","con","correct"
196,5,6,6,6,80,2,"no","yes","no COI","pro","incorrect"
197,3,3,3,3,20,1,"yes","yes","COI","con","incorrect"
198,6,6,6,6,100,2,"yes","no","COI","con","correct"
199,5,6,3,5,65,1,"no","no","no COI","con","correct"
200,2,2,6,5,50,2,"no","no","COI","con","correct"
201,4,4,4,4,15,2,"yes","yes","COI","pro","correct"
202,5,5,6,5,90,2,"yes","yes","no COI","con","incorrect"
203,7,7,7,7,100,2,"yes","yes","COI","con","correct"
204,6,6,7,6,90,1,"yes","yes","no COI","pro","correct"
205,4,4,4,4,50,2,"yes","yes","COI","pro","correct"
206,6,6,6,4,60,1,"yes","yes","no COI","pro","correct"
207,5,6,6,6,80,2,"yes","no","no COI","con","incorrect"
208,5,5,5,5,75,1,"yes","yes","no COI","con","correct"
209,6,6,7,6,85,2,"yes","yes","COI","con","correct"
210,2,4,4,2,10,2,"yes","yes","COI","pro","correct"
211,5,5,5,5,70,2,"no","no","COI","pro","correct"
212,6,6,6,6,80,1,"yes","yes","no COI","pro","correct"
213,5,6,5,1,50,2,"yes","yes","COI","pro","correct"
214,7,7,7,4,85,1,"yes","no","no COI","con","correct"
215,7,7,7,6,85,2,"no","no","COI","con","correct"
216,3,4,5,4,60,2,"yes","yes","COI","pro","correct"
217,6,7,6,6,95,1,"no","yes","no COI","pro","correct"
218,6,6,6,6,80,2,"no","no","no COI","con","incorrect"
219,6,5,6,6,60,1,"yes","yes","no COI","pro","correct"
220,7,7,7,6,95,2,"no","no","COI","con","correct"
221,5,5,5,5,80,2,"no","yes","COI","con","correct"
222,6,6,6,6,76,2,"no","no","COI","pro","correct"
223,5,4,4,4,100,1,"no","yes","no COI","pro","correct"
224,5,5,6,4,50,1,"no","no","no COI","con","correct"
225,7,7,6,4,100,2,"yes","yes","COI","con","correct"
226,4,4,4,4,50,2,"yes","yes","COI","pro","correct"
227,4,3,2,1,20,1,"yes","yes","COI","con","incorrect"
228,5,5,5,4,50,1,"no","yes","no COI","con","correct"
229,7,6,6,7,100,2,"no","no","no COI","con","incorrect"
230,5,4,4,4,75,1,"no","no","no COI","pro","correct"
231,5,4,4,4,80,1,"yes","yes","no COI","pro","correct"
232,3,3,3,5,50,2,"yes","yes","COI","pro","correct"
233,5,5,5,5,80,1,"no","no","COI","pro","incorrect"
234,7,6,6,6,75,1,"no","yes","no COI","pro","correct"
235,6,6,6,6,95,1,"yes","yes","no COI","con","correct"
236,5,6,6,4,85,2,"yes","yes","COI","con","correct"
237,6,6,5,5,85,1,"no","yes","no COI","con","correct"
238,6,6,6,6,70,2,"yes","yes","COI","con","correct"
239,6,6,6,4,80,1,"yes","yes","COI","pro","incorrect"
240,5,5,5,3,50,1,"no","yes","COI","con","incorrect"
241,4,4,4,4,40,2,"no","no","COI","pro","correct"
242,5,5,6,5,85,1,"yes","yes","no COI","con","correct"
243,5,6,7,6,85,1,"yes","yes","no COI","pro","correct"
244,5,5,4,4,65,2,"no","no","COI","pro","correct"
245,6,6,6,4,70,1,"yes","yes","no COI","con","correct"
246,6,6,7,6,75,2,"no","no","COI","con","correct"
247,5,5,5,4,65,1,"yes","no","no COI","pro","correct"
248,5,5,5,5,40,2,"no","no","COI","pro","correct"
249,4,4,4,4,50,2,"yes","no","COI","con","correct"
250,4,4,4,4,75,1,"no","no","no COI","con","correct"
251,6,6,4,4,80,2,"no","yes","COI","con","correct"
252,3,4,4,3,60,2,"no","yes","COI","pro","correct"
253,6,6,6,6,95,2,"no","no","no COI","pro","incorrect"
254,3,3,4,4,50,2,"no","no","COI","con","correct"
255,3,4,4,3,60,2,"no","yes","no COI","con","incorrect"
256,4,5,5,6,50,2,"yes","yes","COI","pro","correct"
257,6,5,4,4,65,1,"no","yes","no COI","pro","correct"
258,4,5,5,4,50,1,"yes","yes","no COI","pro","correct"
259,4,4,2,3,50,1,"yes","yes","no COI","con","correct"
260,6,6,4,4,85,2,"no","no","COI","con","correct"
261,5,5,5,5,50,2,"no","no","COI","pro","correct"
262,7,7,7,7,80,1,"no","yes","no COI","con","correct"
263,6,6,6,5,80,1,"no","yes","no COI","pro","correct"
264,6,6,6,4,80,2,"no","no","COI","con","correct"
265,5,5,6,5,60,2,"no","yes","COI","pro","correct"
266,6,6,6,6,85,1,"yes","yes","no COI","con","correct"
267,6,6,6,6,90,1,"no","no","no COI","pro","correct"
268,5,5,6,5,70,2,"yes","yes","COI","pro","correct"
269,6,6,6,6,78,2,"no","yes","COI","con","correct"
270,6,6,6,6,90,1,"no","yes","no COI","con","correct"
271,6,6,6,5,90,1,"yes","yes","no COI","con","correct"
272,2,2,2,2,30,2,"no","yes","COI","pro","correct"
273,5,4,4,4,50,1,"yes","yes","no COI","pro","correct"
274,6,5,6,6,78,1,"no","yes","no COI","con","correct"
275,3,3,4,3,50,1,"no","yes","no COI","pro","correct"
276,6,6,4,4,70,2,"no","yes","COI","con","correct"
277,4,6,6,3,70,2,"no","yes","COI","con","correct"
278,6,6,5,5,80,1,"yes","yes","no COI","pro","correct"
279,4,4,5,4,50,2,"yes","no","COI","pro","correct"
280,6,6,5,5,95,1,"no","no","no COI","pro","correct"
281,6,6,6,6,85,1,"no","no","no COI","con","correct"
